key,value,reference value,description
card_orders.order.id,ID đặt hàng,Order ID,
button.update_payment_method,Cập nhật phương thức thanh toán,Update Payment Method,
button.extend_subscription,Gia hạn đăng ký,Extend Subscription,
card_orders_shipping_address.address.orders_shipping_address,Địa chỉ giao hàng,Shipping Address,
button.retarget_hp_url,Hoàn thành giao dịch mua của bạn,Complete Your Purchase,
button.reset_password,Đặt lại mật khẩu,Reset Password,
card_contract_terms.contract_term.current_billing_cycle,Chu kỳ hiện tại,Current Cycle,
button.portal_verify_email,xác nhận địa chỉ email,Verify Email Address,
card_invoices.title,Hóa đơn của bạn,Your Invoices,
card_addresses.billing_address.full_billing_address,Địa chỉ thanh toán,Billing Address,
button.pay_now,Thanh toán ngay,Pay Now,
button.claim_gift,Món quà yêu,Claim Gift,
card_orders.order.shipment_carrier,Người vận chuyển lô hàng,Shipment carrier,
button.click_here,Bấm vào đây,Click Here,
card_contract_terms.contract_term.billing_cycle,Tổng số chu kỳ thanh toán,Total Billing Cycles,
card_offline_pm.subscriptions.selected_offline_pm,Phương thức thanh toán đã chọn,Selected payment method,
card_orders.order.batch_id,ID lô,Batchid,
card_offline_pm.subscriptions.offline_pm_instruction,Chi tiết bổ sung,Additional details,
card_recurring_items.title,Đăng ký của bạn,Your Subscription,
card_contract_terms.contract_term.termination_fee,Phí hủy bỏ,Termination fee,
card_customer.title,Chi tiết của bạn,Your details,
card_recurring_items.subscription.id,ID,ID,
card_addresses.shipping_address.full_shipping_address,Địa chỉ giao hàng,Shipping Address,
card_gift_message.title,Đây là một tin nhắn cá nhân dành cho bạn,Here's a personal message for you,
card_orders.order.amount,Số lượng đơn đặt hàng,Order Amount,
card_orders.order.shipping_date,Ngày giao hàng,Shipment date,
card_hp_order_items.title,Các mặt hàng trong đơn đặt hàng của bạn:,Items in your order:,
card_contract_terms.contract_term.action_at_term_end,Vào cuối kỳ,At Term-End,
card_orders.order.tracking_id,Id theo dõi,Tracking id,
card_recurring_items.subscription.po_number,Số PO,PO Number,
card_orders.order.note,Ghi chú,Note,
card_contract_terms.title,Chi tiết hợp đồng,Contract details,
card_contract_terms.contract_term.total_contract_value,Tổng giá trị hợp đồng,Total Contract Value,
card_contract_terms.contract_term.contract_period,Thời hạn hợp đồng,Contract Period,
card_orders.title,Đơn đặt hàng của bạn,Your order,
card_customer.customer.id,ID,ID,
