key,value,reference value,description
line_item.coupon.non_discount_all, %{coupon_details} trong số %{disc_amt} được áp dụng cho %{line_items} chi tiết đơn hàng.,%{coupon_details} of %{disc_amt} applied on %{line_items} line items.,The applied on text for coupon
line_item.coupon.non_discount_singular,Đã áp dụng %{coupon_details} / %{disc_amt} cho mục hàng %{line_items}.,%{coupon_details} of %{disc_amt} applied on line item %{line_items}.,The applied on text for coupon
line_item.coupon.ao_text_singular, %{coupon_details} được áp dụng cho mục hàng %{line_items} - %{disc_amt} %{pdf_inv_desc}.,%{coupon_details} applied on line item %{line_items} - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.final_credit_correction.added,Tín dụng còn lại đã được thêm,Leftover Credits Added,when amount is < than 0
line_item.plan.prorated_charges,Các khoản phí được chia theo tỷ lệ,Prorated Charges,Prorated Charges for plan/addon prorated charges
line_item.coupon.ao_text_all, %{coupon_details} được áp dụng trên %{line_items} chi tiết đơn hàng - %{disc_amt} %{pdf_inv_desc}.,%{coupon_details} applied on %{line_items} line items - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.desc.prorated_credits_for,Tín dụng được chia theo tỷ lệ cho %{date_range},Prorated Credits for %{date_range},Protated Credits for 3rd oct to 15th oct
line_item.coupon.free_quantity, Số lượng miễn phí, Free Quantity,Free quantity in a coupon
line_item.coupon.ao_text_plural, %{coupon_details} được áp dụng cho các chi tiết đơn hàng %{line_items} - %{disc_amt} %{pdf_inv_desc}.,%{coupon_details} applied on line items %{line_items} - %{disc_amt} %{pdf_inv_desc}.,The applied on text for coupon
line_item.desc.stairstep_pricing, %{amount} cho %{unit} đơn vị,%{amount} for %{unit} units,Stairstep pricing description
line_item.desc.total_units,Tổng số đơn vị - %{unit},Total units - %{unit},Total units
line_item.final_credit_correction.removed,Các khoản tín dụng bổ sung đã bị xóa,Additional Credits Removed,when amount is > than 0
email.line_item.coupon.text,Giảm giá <b> %{coupon_details} %{disc_amt} </b> áp dụng cho %{line_item_desc}.,<b>%{coupon_details} %{disc_amt} off</b> applied for %{line_item_desc}.,The applied on text for coupon
line_item.plan.set_up_fee,Thiết lập lệ phí,Setup Fee,Plan set up fee - description at line item level
line_item.desc.credit_adjustments,Tín dụng được xếp hạng,Prorated Credits,Prorated credits given for a line item
line_item.desc.reclaimed_account_credits,Tín dụng khuyến mại đã được trả lại,Promotional Credits Returned,promotional credits given for a line item
line_item.desc.account_credits,Tín dụng khuyến mại,Promotional Credits,promotional credits given for a line item
cn.discount.text,Giảm giá hoặc tín dụng được áp dụng trên hóa đơn này,Discounts/credits applied on this invoice,text
line_item.desc.reclaimed_credit_adjusments,Các khoản tín dụng được chia theo tỷ lệ đã được trả lại,Prorated Credits Returned,Prorated credits given for a line item
line_item.fractional_correction,Hiệu chỉnh phân số,Fractional Correction,Fractional Correction
line_item.coupon.non_discount_plural, %{coupon_details} / %{disc_amt} được áp dụng cho các chi tiết đơn hàng %{line_items}.,%{coupon_details} of %{disc_amt} applied on line items %{line_items}.,The applied on text for coupon
line_item.desc.units,các đơn vị,units,units
