key,value,reference value,description
invoice.transaction.credit_applied,Op %{date} is een tegoed van %{amount} toegepast.,A credit of %{amount} was applied on %{date}.,A credit of amount was applied on date
constants.taxes.avalara_partial_tax_desc,"* Dit bedrag wordt berekend op basis van het belastbare bedrag, dat kan variëren op basis van de belastingwetten in uw land.",*This amount is calculated based on the taxable amount which may vary based on the taxation laws in your country.,avalara partial tax descirption text
invoice.transaction.voided_on,Vervallen op %{date}.,Voided on %{date}.,Voided on date
transaction.payment_method.by_card_null, door Card., by Card.,payment with card
transaction.payment_method.via_pm, via %{payment_method}., via %{payment_method}.,via payment method type
invoice.footer.title.adjustments,Aanpassingen,Adjustments,Adjustments footer title
invoice.transaction.written_off, %{amount} is afgeschreven op %{date}.,%{amount} was written-off on %{date}.,Amount was writted off on date
transaction.payment_method.by_card, door %{card_type} kaart eindigend op %{last4_digits}., by %{card_type} card ending %{last4_digits}.,payment with card
invoice.transaction.refunded_initiated, %{amount} teruggave is gestart op %{date},%{amount} refund was initiated on %{date},Amount refund was initiated on date
constants.invoice_customization.reverse_charge_msg,Op deze factuur is geen btw van toepassing omdat er een geldig btw-nummer is opgegeven en de verleggingsregeling is toegepast.,VAT is not applicable on this invoice because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge message
invoice.transaction.refunded_completed, %{amount} is terugbetaald op %{date},%{amount} was refunded on %{date},Amount refunded on date
invoice.footer.title.payments,Betalingen,Payments,Payment footer title
constants.invoice_customization.cn_reverse_charge_msg,Op deze creditnota is geen btw van toepassing omdat een geldig btw-nummer is opgegeven en de verleggingsregeling is toegepast.,VAT is not applicable on this credit note because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge mesage for credit note
transaction.payment_method.offline_payment,Offline betaling,Offline Payment,Payment through other channels
transaction.payment_method.to_card_null, naar Card., to Card.,payment with card
constants.invoice_customization.vat_exemption_note_export_uk,"Houd er rekening mee dat, aangezien het VK niet langer deel uitmaakt van de EU, onze diensten buiten de reikwijdte van de Britse btw vallen.","Please note that as the UK is no longer part of the EU, our services are outside the scope of UK VAT.",VAT Export Note for UK
transaction.payment_method.to_card, naar %{card_type} kaart eindigend op %{last4_digits}., to %{card_type} card ending %{last4_digits}.,payment with card
invoice.footer.title.credits,Credits,Credits,Credits footer title
invoice.transaction.adjustment,Een aanpassing van %{amount} is gemaakt op %{date}.,An adjustment of %{amount} was made on %{date}.,Adjustment of amount was made on date
constants.invoice_customization.quote_reverse_charge_msg,BTW is niet van toepassing op deze %{quote_title} omdat een geldig BTW-registratienummer is opgegeven en de verleggingsregeling is toegepast.,VAT is not applicable on this %{quote_title} because a valid VAT registration number was provided and the reverse charge mechanism has been applied.,default reverse charge message
invoice.transaction.chargeback_text,Een terugvordering van %{amount} is geregistreerd als teruggave op %{date},A chargeback of %{amount} has been recorded as refund on %{date},A chargeback recorded on a date
constants.invoice_customization.vat_exemption_note_export,Deze exporttransactie is vrijgesteld van btw op grond van artikel 146 van de EU btw-richtlijn.,This export transaction is exempt from VAT as per Article 146 of the EU VAT Directive., VAT Exemption for Export
transaction.payment_method.direct_debit,ACH,ACH,Direct Debit heading
transaction.payment_method.via_card_wallet_pm, via %{payment_method} ( %{card_type} kaart eindigend op %{last4_digits})., via  %{payment_method} ( %{card_type} card ending %{last4_digits} ).,via payment method type
transaction.payment_method.by_pm, door %{payment_method}., by %{payment_method}.,by payment method type
